Agency Name,Cost Pool,Fiscal Month,Cost,Fiscal Month (date),Fiscal & Calendar Month,Fiscal Year
WA State Comm on Hispanic Affairs,Hardware,Sep-2024,41,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
WA ST Comm African-American Affairs,Hardware,Sep-2024,41,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
WA State Comm on Hispanic Affairs,Hardware,Oct-2024,41,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
WA ST Comm African-American Affairs,Hardware,Oct-2024,41,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
WA State Comm on Hispanic Affairs,Hardware,Nov-2024,41,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
WA State Comm on Hispanic Affairs,Hardware,Jan-2025,41,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
WA State Comm on Hispanic Affairs,Hardware,Feb-2025,41,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
WA State Comm on Hispanic Affairs,Hardware,Mar-2025,41,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Comm on Asian-Pacific Amer Affairs,Hardware,Jul-2024,41,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Comm on Asian-Pacific Amer Affairs,Hardware,Sep-2024,41,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Comm on Asian-Pacific Amer Affairs,Hardware,Oct-2024,41,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Comm on Asian-Pacific Amer Affairs,Hardware,Nov-2024,41,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
WA ST Comm African-American Affairs,Hardware,Nov-2024,41,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
WA ST Comm African-American Affairs,Hardware,Dec-2024,41,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Comm on Asian-Pacific Amer Affairs,Hardware,Jan-2025,41,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
WA ST Comm African-American Affairs,Hardware,Jan-2025,41,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Comm on Asian-Pacific Amer Affairs,Hardware,Feb-2025,41,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
WA ST Comm African-American Affairs,Hardware,Feb-2025,41,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Comm on Asian-Pacific Amer Affairs,Hardware,Mar-2025,41,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
WA ST Comm African-American Affairs,Hardware,Mar-2025,41,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Court of Appeals,Hardware,Jan-2025,40,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Court of Appeals,Software,Jan-2025,40,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Freight Mobility Strategic Invest,Internal Labor,Dec-2024,40,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Freight Mobility Strategic Invest,Internal Labor,Jan-2025,40,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Freight Mobility Strategic Invest,Internal Labor,Feb-2025,40,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Freight Mobility Strategic Invest,Internal Labor,Mar-2025,40,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Board of Indust Insurance Appeals,Other,Mar-2025,40,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Office of State Actuary,Other,Feb-2025,39,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Washington State Arts Commission,Other,Sep-2024,38,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Puget Sound Partnership,Other,Mar-2025,38,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
LEG Evaluation & Account Prog Comm,Software,Jan-2025,38,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Utilities and Transportation Comm,Other,Jan-2025,37,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
WA State Comm on Hispanic Affairs,Telecom,Oct-2024,37,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Wash Traffic Safety Commission,Internal Services,Sep-2024,36,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Washington State Gambling Comm,External Labor,Feb-2025,36,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of Lieutenant Governor,Telecom,Mar-2025,35,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Washington State Leadership Board,Other,Oct-2024,35,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Office of State LEG Labor Relations,Telecom,Feb-2025,35,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Transportation Commission,Telecom,Jan-2025,35,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of Public Defense,Other,Nov-2024,34,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Transportation Commission,Telecom,Sep-2024,34,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Transportation Commission,Telecom,Nov-2024,34,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Wash Traffic Safety Commission,Telecom,Jul-2024,33,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Comm on Asian-Pacific Amer Affairs,Software,Jul-2024,33,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Western Washington University,Facilities & Power,Feb-2025,32,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of Independent Investigations,Software,Dec-2024,31,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Board of Indust Insurance Appeals,Other,Sep-2024,30,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Economic & Revenue Forecast Council,Telecom,Nov-2024,29,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
LEG Evaluation & Account Prog Comm,Software,Aug-2024,27,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
LEG Evaluation & Account Prog Comm,Software,Dec-2024,27,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
LEG Evaluation & Account Prog Comm,Software,Feb-2025,27,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
LEG Evaluation & Account Prog Comm,Software,Mar-2025,27,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Transportation Commission,Other,Mar-2025,26,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Dept of Financial Institutions,Software,Feb-2025,26,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
State Board of Accountancy,Telecom,Sep-2024,25,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Retirement Systems,Other,Aug-2024,25,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Joint LEG Audit & Review Committee,Software,Sep-2024,25,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Washington State Leadership Board,Other,Sep-2024,24,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of Administrative Hearings,Other,Jul-2024,23,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Washington State Leadership Board,Software,Aug-2024,20,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Supt of Public Instruction,Facilities & Power,Oct-2024,20,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Senate,Internal Services,Aug-2024,20,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
House of Representatives,Software,Feb-2025,20,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of Civil Legal Aid,Software,Feb-2025,19,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of Administrative Hearings,Software,Sep-2024,18,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Archaeology & Historic Preservation,Telecom,Jul-2024,18,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Comm on Asian-Pacific Amer Affairs,Telecom,Jul-2024,18,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Office of Lieutenant Governor,Telecom,Dec-2024,18,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Office of Lieutenant Governor,Telecom,Jan-2025,18,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of Lieutenant Governor,Telecom,Feb-2025,18,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Transportation Improvement Board,Telecom,Jul-2024,17,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Office of Lieutenant Governor,Software,Oct-2024,15,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Office of Lieutenant Governor,Software,Jan-2025,15,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of Lieutenant Governor,Software,Feb-2025,15,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Transportation Improvement Board,Other,Jan-2025,15,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
State School for the Blind,Outside Services,Mar-2025,14,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
House of Representatives,Software,Oct-2024,13,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Off of Minority & Women's Business,Telecom,Jul-2024,11,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Comm on Asian-Pacific Amer Affairs,Other,Nov-2024,11,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Recreation and Conservation Funding Boar,Other,Jan-2025,11,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Washington State Leadership Board,Telecom,Nov-2024,10,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
State Lottery Commission,Internal Services,Aug-2024,10,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
State Investment Board,Internal Services,Dec-2024,9,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Western Washington University,External Labor,Oct-2024,6,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Dept of Financial Institutions,Internal Services,Jan-2025,6,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
State Conservation Commission,Internal Services,Dec-2024,6,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Bond Retirement and Interest,Internal Services,Aug-2024,4,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Bond Retirement and Interest,Internal Services,Dec-2024,4,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
WA State Comm on Hispanic Affairs,Telecom,Jul-2024,3,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Board of Tax Appeals,Telecom,Jul-2024,3,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Bond Retirement and Interest,Internal Services,Oct-2024,3,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Bond Retirement and Interest,Internal Services,Mar-2025,3,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Bond Retirement and Interest,Internal Services,Nov-2024,2,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Washington Horse Racing Commission,Software,Mar-2025,1,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Forensic Investigations Council,Internal Services,Feb-2025,1,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Washington State Gambling Comm,Software,Aug-2024,0,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Office of State Auditor,Facilities & Power,Dec-2024,-5,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Office of Insurance Commissioner,Software,Dec-2024,-21,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Workforce Train & Educ Coord Board,Telecom,Oct-2024,-29,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Puget Sound Partnership,Software,Jan-2025,-47,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
State Parks and Recreation Comm,Other,Jul-2024,-73,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Puget Sound Partnership,Other,Jan-2025,-113,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Employment Security Department,Internal Services,Dec-2024,-126,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Office of Lieutenant Governor,Telecom,Nov-2024,-126,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Washington State Gambling Comm,External Labor,Oct-2024,-133,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Governor's Office of Indian Affairs,Telecom,Sep-2024,-213,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
House of Representatives,Telecom,Feb-2025,-250,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
LEOFF Plan 2 Retirement Board,Telecom,Dec-2024,-259,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
LEOFF Plan 2 Retirement Board,Telecom,Feb-2025,-259,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Recreation and Conservation Funding Boar,Software,Nov-2024,-323,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
WA Pollution Liab Insurance Program,External Labor,Sep-2024,-463,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Office of Public Defense,Software,Sep-2024,-544,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Human Rights Commission,Hardware,Mar-2025,-936,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Washington State Arts Commission,Hardware,Feb-2025,-1019,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Licensing,Other,Jul-2024,-1045,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Washington State Arts Commission,Hardware,Aug-2024,-1397,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
State Lottery Commission,Hardware,Aug-2024,-1480,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Washington State Arts Commission,Hardware,Nov-2024,-1626,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Ecology,External Labor,Dec-2024,-1667,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Student Achievement Council,External Labor,Mar-2025,-1809,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Transportation Improvement Board,Hardware,Jan-2025,-1814,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of Lieutenant Governor,Telecom,Sep-2024,-1902,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Washington State Arts Commission,Software,Jan-2025,-2386,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Commerce,Outside Services,Sep-2024,-3317,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Public Disclosure Commission,Outside Services,Dec-2024,-3439,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Joint Legislative Systems Committee,Software,Mar-2025,-4613,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Washington State Arts Commission,Software,Nov-2024,-4823,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Office of Insurance Commissioner,External Labor,Dec-2024,-4900,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
State Investment Board,Hardware,Mar-2025,-5077,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
WA ST Criminal Justice Train Comm,External Labor,Feb-2025,-5184,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Ecology,Outside Services,Nov-2024,-5639,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Veterans Affairs,Other,Dec-2024,-5646,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
"Department of Children, Youth, and Famil",Other,Nov-2024,-5794,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Senate,Software,Nov-2024,-6456,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Western Washington University,Outside Services,Sep-2024,-7125,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Washington State Gambling Comm,External Labor,Aug-2024,-7155,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Environmental and Land Use Hearings Offi,Outside Services,Sep-2024,-7910,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Puget Sound Partnership,Other,Feb-2025,-8262,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Licensing,Internal Services,Oct-2024,-8381,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Veterans Affairs,Other,Nov-2024,-8794,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Ecology,Facilities & Power,Dec-2024,-8857,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Public Disclosure Commission,Outside Services,Jan-2025,-10246,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Utilities and Transportation Comm,Software,Jul-2024,-12000,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Veterans Affairs,Other,Mar-2025,-12332,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Fish and Wildlife,External Labor,Aug-2024,-12386,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Employment Security Department,External Labor,Jan-2025,-13988,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Workforce Train & Educ Coord Board,Hardware,Jan-2025,-14200,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Washington State Arts Commission,Software,Oct-2024,-14837,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Employment Security Department,External Labor,Oct-2024,-15338,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Office of Independent Investigations,Other,Sep-2024,-17378,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Veterans Affairs,Other,Feb-2025,-17861,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Employment Security Department,External Labor,Aug-2024,-18586,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
State Lottery Commission,Software,Sep-2024,-19410,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Veterans Affairs,Other,Jan-2025,-19619,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Commerce,Outside Services,Aug-2024,-19784,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Employment Security Department,External Labor,Mar-2025,-19803,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
County Road Administration Board,Software,Nov-2024,-20205,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Community/Technical College System,Internal Services,Sep-2024,-20349,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Employment Security Department,External Labor,Dec-2024,-20385,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
"Department of Children, Youth, and Famil",Other,Feb-2025,-20806,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Employment Security Department,External Labor,Nov-2024,-22149,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Employment Security Department,External Labor,Feb-2025,-22562,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Licensing,Other,Feb-2025,-25419,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Western Washington University,Internal Services,Jul-2024,-28354,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
County Road Administration Board,Software,Dec-2024,-28838,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Employment Security Department,External Labor,Sep-2024,-29499,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Employment Security Department,Facilities & Power,Oct-2024,-30138,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Central Washington University,Internal Services,Aug-2024,-30913,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Wash State Health Care Authority,External Labor,Jan-2025,-39011,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of State Auditor,Outside Services,Jan-2025,-45825,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Corrections,External Labor,Sep-2024,-51359,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Fish and Wildlife,Other,Aug-2024,-51988,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Veterans Affairs,External Labor,Mar-2025,-52344,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Corrections,Facilities & Power,Aug-2024,-55978,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Dept of Social and Health Services,Other,Mar-2025,-60955,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Veterans Affairs,Internal Labor,Oct-2024,-61964,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Washington State University,Internal Services,Feb-2025,-69914,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Health,Software,Mar-2025,-71878,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Health,Other,Aug-2024,-76868,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Washington Technology Solutions,Hardware,Jan-2025,-87334,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Health,Hardware,Jan-2025,-93943,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Supt of Public Instruction,Internal Services,Dec-2024,-100574,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Energy Facility Site Evaluation Council,Software,Nov-2024,-130076,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Veterans Affairs,Outside Services,Dec-2024,-143175,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Workforce Train & Educ Coord Board,Other,Nov-2024,-155281,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Veterans Affairs,Outside Services,Jan-2025,-167216,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Fish and Wildlife,Outside Services,Jan-2025,-178396,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Health,External Labor,Dec-2024,-202365,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Health,External Labor,Mar-2025,-218651,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Community/Technical College System,Other,Feb-2025,-218737,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Health,Other,Nov-2024,-281184,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Community/Technical College System,Other,Jan-2025,-284821,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
"Department of Children, Youth, and Famil",Outside Services,Mar-2025,-296466,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Health,Other,Jan-2025,-297284,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Veterans Affairs,Hardware,Mar-2025,-299422,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Office of the Secretary of State,Software,Feb-2025,-301139,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Health,Hardware,Mar-2025,-305386,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Commerce,Outside Services,Feb-2025,-351314,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Ecology,Outside Services,Dec-2024,-359170,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Enterprise Services,Hardware,Jul-2024,-426865,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Dept of Social and Health Services,Hardware,Mar-2025,-460261,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Office of Financial Management,Software,Feb-2025,-464872,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
"Department of Children, Youth, and Famil",External Labor,Mar-2025,-490075,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Office of Financial Management,Outside Services,Feb-2025,-491405,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Dept of Social and Health Services,Other,Feb-2025,-545669,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Community/Technical College System,Other,Aug-2024,-731506,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Health,Other,Dec-2024,-1081269,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Labor and Industries,Outside Services,Oct-2024,-1097941,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Labor and Industries,Other,Sep-2024,-1484127,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Corrections,Software,Oct-2024,-1864746,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Employment Security Department,Software,Jan-2025,-2071755,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of Financial Management,Telecom,Feb-2025,-2974520,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Fish and Wildlife,Internal Services,Feb-2025,-3596284,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
